numero,categoria_profissional,localizacao_geografica,empregador_trabalhadores,abrangencia,alvo_esfera,inicio,dias,carater1,carater2,carater3
5655,Professores Rede Estadual,DF,,categoria,poder executivo/estadual,5/6/1992,72,propositiva,-,-
5657,Professores Rede Estadual,PI,,categoria,poder executivo/estadual,6/1/1990,1,-,-,-
5658,Professores Rede Estadual,ES,,categoria,poder executivo/estadual,5/18/1992,50,propositiva,-,-
5659,Professores Rede Estadual Ensino Superior,Campinas/SP,UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS,categoria,poder executivo/estadual,5/18/1992,1,propositiva,-,-
5660,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Belo Horizonte/MG,,categoria,poder executivo/municipal,5/12/1992,18,propositiva,-,-
5661,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Santo Antônio de Jesus/BA,,categoria,poder executivo/municipal,5/1/1992,1,propositiva,-,-
5662,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",PA,,categoria,poder executivo/estadual,6/6/1990,1,propositiva,-,-
5663,Professores Rede Municipal ,Anápolis/GO,,categoria,poder executivo/municipal,6/4/1990,9,propositiva,-,-
5666,Professores Rede Municipal,Natal/RN,,categoria,poder executivo/municipal,4/6/1992,36,propositiva,-,-
5742,Professores Rede Estadual Ensino Superior,SP,,categoria,poder executivo/estadual,6/3/1992,10,propositiva,-,-
5744,Professores Rede Estadual,SP,,categoria,poder executivo/estadual,6/4/1992,2,propositiva,-,-
5747,Professores Rede Estadual,SC,,categoria,poder executivo/estadual,6/23/1992,6,propositiva,-,-
5749,Professores Rede Municipal,Serra/ES,,categoria,poder executivo/municipal,6/16/1992,1,-,defensiva,-
5848,Professores Rede Federal Ensino Técnico-Profissional,Florianópolis/SC,ESCOLA TÉCNICA FEDERAL DE SANTA CATARINA,categoria,poder executivo/federal,5/27/1992,59,propositiva,-,protesto
5851,Professores Rede Estadual,PE,,categoria,poder executivo/estadual,7/31/1992,1,propositiva,-,-
5891,Professores Rede Estadual,SP,,categoria,poder executivo/estadual,8/24/1992,8,propositiva,-,-
5914,Professores Rede Municipal,Recife/PE,,categoria,poder executivo/municipal,8/2/1992,28,propositiva,-,-
5917,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,8/7/1992,2,-,defensiva,-
5918,Auxiliares de Administração Escolar Rede Municipal,São José/SC,,categoria,poder executivo/municipal,8/19/1992,1,propositiva,-,-
5992,Professores Rede Estadual,RS,,categoria,poder executivo/estadual,6/27/1990,8,-,defensiva,-
5993,Professores Rede Estadual,ES,,categoria,poder executivo/estadual,5/21/1990,57,propositiva,-,protesto
6164,Professores Rede Estadual,GO,,categoria,poder executivo/estadual,8/1/1990,3,propositiva,defensiva,protesto
6166,Professores Rede Estadual,DF,,categoria,poder executivo/estadual,8/22/1990,3,-,defensiva,-
6167,Professores Rede Municipal,Vitória da Conquista/BA,,categoria,poder executivo/municipal,7/25/1990,24,propositiva,-,protesto
6168,Professores Rede Estadual,AM,,categoria,poder executivo/estadual,8/4/1990,74,propositiva,-,-
6172,Professores Rede Municipal,Rio de Janeiro/RJ,,categoria,poder executivo/municipal,8/1/1990,28,propositiva,-,-
6173,Professores Rede Estadual,PE,,categoria,poder executivo/estadual,8/7/1990,1,propositiva,defensiva,-
6248,Professores Rede Federal Ensino Superior,Porto Alegre/RS,UFRGS - UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,categoria,poder executivo/federal,9/27/1990,1,propositiva,-,-
6249,Professores Rede Estadual,BA,,categoria,poder executivo/estadual,9/24/1990,33,-,defensiva,-
6251,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,9/20/1990,23,propositiva,-,-
6252,Professores Rede Estadual,Maceió/AL,,categoria,poder executivo/estadual,9/19/1990,72,propositiva,-,-
6253,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Belo Horizonte/MG,,categoria,poder executivo/municipal,9/20/1990,11,propositiva,-,-
6254,Professores Rede Municipal,São Paulo/SP,,categoria,poder executivo/municipal,9/25/1990,1,propositiva,-,-
6291,Professores Rede Estadual Ensino Superior,Maringá/PR,UEM - UNIVERSIDADE ESTADUAL DE MARINGÁ,categoria,poder executivo/estadual,9/5/1990,26,propositiva,-,-
6411,Professores Rede Municipal,Alvorada/RS,,categoria,poder executivo/municipal,10/24/1990,1,-,defensiva,-
6425,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,10/18/1990,1,-,defensiva,-
6426,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,9/21/1990,35,propositiva,defensiva,-
6430,Professores Rede Estadual,SC,,categoria,poder executivo/estadual,9/20/1990,34,propositiva,-,-
6431,Professores Rede Federal Ensino Superior,RS,UFRGS - UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,categoria,poder executivo/federal,9/19/1990,22,propositiva,-,-
6435,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",BA,,categoria,poder executivo/estadual,9/23/1990,32,propositiva,-,-
6546,Professores Rede Estadual,Alvorada/RS,,categoria,poder executivo/estadual,10/31/1990,9,-,-,-
6547,Professores Rede Estadual,Parnaíba/PI,,categoria,poder executivo/estadual,11/13/1990,1,-,defensiva,-
6548,Professores Rede Municipal,Igarassu/PE,,categoria,poder executivo/municipal,10/22/1990,20,-,defensiva,-
6549,Professores Rede Estadual,Rio de Janeiro/RJ,,categoria,poder executivo/estadual,11/6/1990,3,propositiva,-,-
6550,Professores Rede Municipal,Duque de Caxias/RJ,,categoria,poder executivo/municipal,11/8/1990,1,-,defensiva,-
6551,Professores Rede Municipal,Gravataí/RS,,categoria,poder executivo/municipal,11/7/1990,7,propositiva,-,-
6559,Professores Rede Estadual Ensino Superior,Ribeirão Preto/SP,USP - UNIVERSIDADE DE SÃO PAULO,categoria,poder executivo/estadual,11/8/1990,6,propositiva,-,-
6560,Auxiliares de Administração Escolar Rede Estadual Ensino Superior,SP,,categoria,poder executivo/estadual,11/8/1990,7,propositiva,-,-
6561,Auxiliares de Administração Escolar Rede Estadual,RS,Empregador não identificado,categoria,poder executivo/estadual,11/5/1990,2,propositiva,-,-
6647,Professores Rede Estadual,PE,,categoria,poder executivo/estadual,3/28/2001,24,-,defensiva,-
6649,Professores Rede Estadual,Rio de Janeiro/RJ,,categoria,poder executivo/estadual,4/26/2001,1,propositiva,-,-
6651,"Professores Rede Estadual, Professores Rede Municipal",NACIONAL,,categoria,"poder executivo/estadual, poder executivo/municipal",4/6/2001,1,propositiva,-,protesto
6652,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Crateús/CE,,categoria,poder executivo/municipal,4/17/2001,10,propositiva,-,-
6671,Professores Rede Federal Ensino Superior,Pelotas/RS,UFPEL - UNIVERSIDADE FEDERAL DE PELOTAS,categoria,poder executivo/federal,4/12/2001,6,-,defensiva,-
6689,Auxiliares de Administração Escolar Rede Estadual Ensino Superior,Campinas/SP,UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS,categoria,poder executivo/estadual,5/18/2001,1,propositiva,-,-
6694,"Auxiliares de Administração Escolar Rede Federal Ensino Superior, Professores Rede Federal Ensino Superior",João Pessoa/PB,"UFPB - UNIVERSIDADE FEDERAL DA PARAÍBA, CEFET/PB - CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DA PARAÍBA",categoria,poder executivo/federal,5/8/2001,1,propositiva,-,-
6696,Auxiliares de Administração Escolar Rede Federal Ensino Superior,Manaus/AM,UFAM - UNIVERSIDADE FEDERAL DO AMAZONAS,categoria,poder executivo/federal,5/9/2001,1,-,defensiva,-
6767,Professores Rede Municipal,RJ,,categoria,poder executivo/municipal,8/2/2000,23,propositiva,defensiva,-
6769,Professores Rede Municipal,Cruzeiro/SP,,categoria,poder executivo/municipal,8/29/2000,1,-,defensiva,-
6770,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Cocal/PI,,categoria,poder executivo/municipal,8/24/2000,1,-,defensiva,-
6782,Auxiliares de Administração Escolar Rede Estadual ,Joinville/SC,ESCOLA DE EDUCAÇÃO BÁSICA JOÃO MARTINS VERAS,categoria,poder executivo/estadual,8/22/2000,1,-,defensiva,-
6787,Professores Rede Estadual,Espírito Santo/RN,,categoria,poder executivo/estadual,8/3/2000,27,-,-,-
6805,Professores Rede Municipal,Barreira/CE,,categoria,poder executivo/municipal,9/14/2000,5,-,defensiva,-
6806,Professores Rede Estadual,AL,,categoria,poder executivo/estadual,9/21/2000,2,propositiva,-,-
6827,Professores Rede Municipal,Umirim/CE,,categoria,poder executivo/municipal,10/18/2000,3,-,defensiva,-
6828,Auxiliares de Administração Escolar Rede Federal Ensino Superior,GO,Universidade Federal GO,categoria,poder executivo/federal,10/25/2000,1,-,defensiva,-
6837,Professores Rede Estadual,Nova Friburgo/RJ,,categoria,poder executivo/estadual,10/5/2000,1,-,defensiva,-
6838,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",PE,,categoria,poder executivo/estadual,10/5/2000,22,propositiva,defensiva,protesto
6847,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Umirim/CE,,categoria,poder executivo/municipal,9/30/2000,24,-,defensiva,-
6880,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Piquet Carneiro/CE,,categoria,poder executivo/municipal,11/6/2000,7,-,defensiva,-
6881,Professores Rede Municipal,São Mateus/ES,,categoria,poder executivo/municipal,11/13/2000,1,-,defensiva,protesto
6882,Professores Rede Municipal,Acopiara/CE,,categoria,poder executivo/municipal,10/30/2000,3,-,defensiva,-
6883,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",ES,,categoria,poder executivo/municipal,11/6/2000,3,-,defensiva,-
6899,Professores Rede Estadual Ensino Superior,MT,Universidade do Estado MT,categoria,poder executivo/estadual,8/7/2000,97,propositiva,-,protesto
6901,Auxiliares de Administração Escolar Rede Federal Ensino Superior,"BA, PB, PR",,categoria,poder executivo/federal,11/6/2000,4,-,-,-
6905,Professores Rede Estadual,DF,,categoria,poder executivo/estadual,8/28/2000,78,propositiva,-,protesto
6958,Professores Rede Municipal,Arapiraca/AL,,categoria,poder executivo/municipal,12/11/2000,2,-,defensiva,-
6959,Professores Rede Municipal,Cariacica/ES,,categoria,poder executivo/municipal,12/7/2000,1,propositiva,defensiva,-
6960,Professores Rede Municipal,Viana/ES,,categoria,poder executivo/municipal,12/4/2000,4,-,defensiva,-
7000,Professores Rede Estadual,Paraná/RN,,categoria,poder executivo/estadual,4/6/2001,1,-,defensiva,-
7016,Professores Rede Estadual,PI,,categoria,poder executivo/estadual,5/11/2001,10,-,defensiva,-
7018,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,5/3/2001,2,propositiva,-,protesto
7019,Professores Rede Federal Ensino Superior,Uberlândia/MG,UFU - UNIVERSIDADE FEDERAL DE UBERLÂNDIA.,categoria,poder executivo/federal,5/9/2001,1,propositiva,-,protesto
7021,Professores Rede Municipal,Valparaíso/SP,,categoria,poder executivo/municipal,5/17/2001,6,-,defensiva,-
7022,Professores Rede Municipal,Rio de Janeiro/RJ,,categoria,poder executivo/municipal,5/18/2001,1,propositiva,-,-
7023,Professores Rede Municipal ,Contagem/MG,,categoria,poder executivo/municipal,5/10/2001,30,propositiva,-,-
7067,Professores Rede Estadual,RN,,categoria,poder executivo/estadual,8/24/2001,11,propositiva,defensiva,-
7079,Professores Rede Federal Ensino Técnico-Profissional,Salvador/BA,CEFET/BA - CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DA BAHIA,categoria,poder executivo/federal,6/7/2001,1,-,-,protesto
7083,Professores Rede Estadual Ensino Técnico-Profissional,RJ,FAETEC - FUNDAÇÃO DE APOIO À ESCOLA TÉCNICA,categoria,poder executivo/estadual,6/5/2001,3,propositiva,defensiva,-
7084,Professores Rede Estadual Ensino Superior,Campinas/SP,UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS,categoria,poder executivo/estadual,6/1/2001,1,propositiva,-,-
7085,Professores Rede Estadual,Campina Grande/PB,,categoria,poder executivo/estadual,5/31/2001,1,propositiva,-,-
7086,Professores Rede Estadual Ensino Superior,RJ,UERJ - UNIVERSIDADE ESTADUAL DO RIO DE JANEIRO,categoria,poder executivo/estadual,6/26/2001,10,-,defensiva,-
7087,Professores Rede Municipal,Curitiba/PR,,categoria,poder executivo/municipal,6/8/2001,1,propositiva,-,-
7088,Professores Rede Estadual,AL,,categoria,poder executivo/estadual,6/21/2001,5,propositiva,-,-
7137,Professores Rede Estadual,Maceió/AL,,categoria,poder executivo/estadual,7/4/2001,1,propositiva,-,-
7138,Professores Rede Estadual Ensino Superior,Feira de Santana/BA,UEFS - UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,categoria,poder executivo/estadual,7/16/2001,5,propositiva,-,-
7140,Professores Rede Estadual,GO,,categoria,poder executivo/estadual,7/2/2001,1,propositiva,-,-
7142,Professores Rede Municipal,Salvador/BA,,categoria,poder executivo/municipal,7/3/2001,21,propositiva,-,-
7146,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Salvador/BA,,categoria,poder executivo/municipal,7/12/2001,12,propositiva,-,-
7149,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",BA,,categoria,poder executivo/estadual,7/3/2001,3,propositiva,defensiva,-
7150,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Salvador/BA,,categoria,poder executivo/municipal,7/3/2001,1,propositiva,-,-
7159,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,8/1/2001,29,propositiva,-,-
7160,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",Mato Grosso/PB,,categoria,poder executivo/estadual,7/31/2001,8,propositiva,-,-
7161,Professores Rede Estadual,GO,,categoria,poder executivo/estadual,8/3/2001,26,propositiva,-,-
7164,Professores Rede Municipal,Arapiraca/AL,,categoria,poder executivo/municipal,7/30/2001,25,propositiva,defensiva,-
7187,Professores Rede Estadual,ES,,categoria,poder executivo/estadual,8/6/2001,53,propositiva,-,-
7195,Professores Rede Estadual,MT,,categoria,poder executivo/estadual,7/31/2001,32,propositiva,defensiva,-
7196,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",GO,,categoria,poder executivo/estadual,8/2/2001,16,propositiva,-,-
7199,Professores Rede Municipal,São Paulo/SP,,categoria,poder executivo/municipal,9/18/2001,1,propositiva,-,protesto
7205,Professores Rede Municipal ,Maceió/AL,,categoria,poder executivo/municipal,9/3/2001,8,propositiva,-,protesto
7209,Professores Rede Estadual Ensino Superior,PR,,categoria,poder executivo/estadual,9/17/2001,169,propositiva,-,protesto
7226,Professores Rede Municipal,Quatis/RJ,,categoria,poder executivo/municipal,10/23/2001,2,propositiva,-,-
7238,Professores Rede Municipal,Fortaleza/CE,,categoria,poder executivo/municipal,10/28/2001,29,propositiva,-,-
7239,Professores Rede Estadual,DF,,categoria,poder executivo/estadual,11/8/2001,6,-,defensiva,-
7263,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Currais Novos/RN,,categoria,poder executivo/municipal,9/12/2001,39,propositiva,-,-
7264,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Fortaleza/CE,,categoria,poder executivo/municipal,10/24/2001,6,propositiva,defensiva,-
7311,Professores Rede Estadual Ensino Superior,Vitória/ES,FAFABES - FACULDADE DE FARMÁCIA E BIOQUÍMICA DO ESTADO DO ESPÍRITO SANTO,categoria,poder executivo/estadual,1/23/2002,1,propositiva,-,-
7312,Professores Rede Estadual Ensino Superior,Campina Grande/PB,UEPB - UNIVERSIDADE ESTADUAL DA PARAÍBA,categoria,poder executivo/estadual,10/29/2001,144,propositiva,defensiva,protesto
7319,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",PI,,categoria,poder executivo/estadual,2/20/2002,2,propositiva,-,protesto
7321,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",MT,,categoria,poder executivo/municipal,2/18/2002,18,propositiva,-,-
7332,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",PE,,categoria,poder executivo/estadual,2/19/2002,35,propositiva,-,protesto
7336,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",RJ,,categoria,poder executivo/estadual,3/6/2002,77,propositiva,defensiva,protesto
8022,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,2/9/1996,43,propositiva,defensiva,-
8027,Professores Rede Municipal,Castanhal/PA,,categoria,poder executivo/municipal,2/9/1996,4,-,defensiva,-
8029,Professores Rede Municipal,Curionópolis/PA,,categoria,poder executivo/municipal,2/7/1996,6,-,defensiva,-
8139,Professores Rede Estadual,AL,,categoria,poder executivo/estadual,2/21/1994,10,propositiva,-,-
8142,Professores Rede Estadual,Manaus/AM,,categoria,poder executivo/estadual,3/7/1994,2,-,defensiva,-
8144,Professores Rede Estadual,CE,,categoria,poder executivo/estadual,2/17/1994,22,propositiva,-,-
8145,Professores Rede Estadual,ES,,categoria,poder executivo/estadual,3/8/1994,24,propositiva,defensiva,-
8148,Professores Rede Estadual Ensino Superior,Vitória/ES,FAFABES - FACULDADE DE FARMÁCIA E BIOQUÍMICA DO ESTADO DO ESPÍRITO SANTO,categoria,poder executivo/estadual,3/8/1994,1,-,defensiva,-
8183,Professores Rede Estadual,MT,,categoria,poder executivo/estadual,3/15/1994,16,propositiva,-,-
8184,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",PA,,categoria,poder executivo/estadual,3/21/1994,15,propositiva,defensiva,-
8185,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",SC,,categoria,poder executivo/estadual,3/22/1994,1,propositiva,-,protesto
8188,Professores Rede Municipal,Feira de Santana/BA,,categoria,poder executivo/municipal,3/1/1994,6,-,defensiva,-
8190,Professores Rede Municipal,Fortaleza/CE,,categoria,poder executivo/municipal,2/1/1994,39,propositiva,-,-
8192,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Goiânia/GO,,categoria,poder executivo/municipal,3/3/1994,38,propositiva,-,-
8210,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,3/16/1994,1,propositiva,-,-
