numero,categoria_profissional,localizacao_geografica,empregador_trabalhadores,abrangencia,alvo_esfera,inicio,dias,carater1,carater2,carater3
9193,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Niterói/RJ,,categoria,poder executivo/municipal,5/28/1996,2,propositiva,-,-
9541,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,6/11/1996,2,propositiva,-,-
9542,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,6/18/1996,2,propositiva,-,-
9547,Professores Rede Estadual,TO,,categoria,poder executivo/estadual,4/29/1996,46,propositiva,defensiva,-
9549,Professores Rede Municipal,Conceição da Barra/ES,,categoria,poder executivo/municipal,4/20/1996,60,-,defensiva,-
9557,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São Paulo/SP,,categoria,poder executivo/municipal,6/26/1996,1,propositiva,-,-
9577,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Natal/RN,,categoria,poder executivo/municipal,5/21/1996,64,propositiva,defensiva,protesto
9638,Professores Rede Estadual Ensino Superior,SP,,categoria,poder executivo/estadual,5/16/1994,37,propositiva,-,-
9652,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",São Paulo/SP,,categoria,poder executivo/estadual,5/10/1994,8,propositiva,-,-
9654,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,5/26/1994,1,propositiva,-,-
9656,Professores Rede Estadual,SC,,categoria,poder executivo/estadual,5/24/1994,1,propositiva,-,-
9659,Professores Rede Estadual,Natal/RN,,categoria,poder executivo/estadual,5/7/1994,18,propositiva,-,-
9663,Professores Rede Estadual,Brasília/DF,,categoria,poder executivo/estadual,5/18/1994,1,propositiva,defensiva,-
9665,Professores Rede Municipal,Rio de Janeiro/RJ,,categoria,poder executivo/municipal,5/19/1994,1,propositiva,-,-
9668,Professores Rede Municipal,Niterói/RJ,,categoria,poder executivo/municipal,5/18/1994,10,propositiva,-,-
9671,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,5/4/1994,34,propositiva,-,-
9673,Professores Rede Municipal,Betim/MG,,categoria,poder executivo/municipal,5/17/1994,1,propositiva,-,-
9675,Professores Rede Municipal,Contagem/MG,,categoria,poder executivo/municipal,5/18/1994,1,propositiva,-,-
