ibge,ano,n_families_pbf,value_pbf
210945,2004,614,558151
210950,2004,2041.416666666667,1678934
210955,2004,474.25,443097
210960,2004,1963.5,1817914
210970,2004,75.75,61961
210975,2004,255.75,233120
210980,2004,2677.833333333333,2398228
210990,2004,873.4166666666666,805074
211000,2004,4118.916666666667,3850203
211003,2004,1304.916666666667,1178404
211010,2004,1286,1158650
211020,2004,944.75,890365
211023,2004,764.5833333333334,716073
211027,2004,450.3333333333333,454774
211030,2004,884.4166666666666,833193
211040,2004,200.25,177288
211050,2004,2485.166666666667,2241674
211060,2004,2372.666666666667,2185558
211065,2004,110.8333333333333,105812
211070,2004,1669.75,1394733
211080,2004,327.3333333333333,315925
211085,2004,398.6666666666667,365279
211090,2004,844.4166666666666,750230
211100,2004,1723.166666666667,1593920
211102,2004,708,686572
211105,2004,198.1666666666667,189240
211107,2004,1146.583333333333,1067007
211110,2004,1719.083333333333,1547087
211120,2004,4654.583333333333,4169671
211125,2004,457.6666666666667,415636
211130,2004,29550,25318520
211140,2004,1953.333333333333,1754665
211150,2004,3126,2859960
211153,2004,389.5,381824
211157,2004,322.9166666666667,274099
211160,2004,686.8333333333334,633580
211163,2004,451,433160
211167,2004,290.25,280937
211170,2004,327.8333333333333,315204
211172,2004,166.6666666666667,150839
211174,2004,448.6666666666667,441743
211176,2004,1176.5,1010021
211178,2004,636.8333333333334,607384
211180,2004,97.41666666666667,87534
211190,2004,198.4166666666667,186618
211195,2004,385.25,295858
211200,2004,360.5,335403
211210,2004,1353.666666666667,1216820
211220,2004,4681.666666666667,4220889
211223,2004,1089.416666666667,882051
211227,2004,224,216889
211230,2004,2567.666666666667,2379989
211240,2004,1468,1343679
211245,2004,1350.75,1215699
211250,2004,3520.916666666667,3463986
211260,2004,1127.083333333333,1042252
211270,2004,1815.833333333333,1767580
211280,2004,2841.75,2501916
211285,2004,330.3333333333333,304575
211290,2004,2305.833333333333,2124753
211300,2004,2254.916666666667,2002223
211400,2004,2857.583333333333,2536329
220005,2004,766.3333333333334,666054
220010,2004,407,383397
220020,2004,1334.416666666667,1202200
220025,2004,771.75,675014
220027,2004,526,468330
220030,2004,1059,977174
220040,2004,1995.583333333333,1740708
220045,2004,312.0833333333333,310079
220050,2004,1202.666666666667,1105064
220060,2004,306.0833333333333,262750
220070,2004,697.3333333333334,642515
220080,2004,283,230495
220090,2004,184.3333333333333,146644
220095,2004,,0
220100,2004,671.6666666666666,603344
220105,2004,825.75,768795
220110,2004,546.9166666666666,527207
220115,2004,196.75,172782
220117,2004,217.3333333333333,198685
220120,2004,3043.583333333333,2863571
220130,2004,0,0
220140,2004,491.9166666666667,453406
220150,2004,1872.5,1763120
220155,2004,351.5833333333333,299460
220157,2004,247.25,216117
220160,2004,643.9166666666666,580326
220170,2004,396.3333333333333,352885
220173,2004,487.75,417404
220177,2004,512.25,457535
220180,2004,441.75,386317
220190,2004,1278.5,1172635
220191,2004,135.5,123300
220192,2004,243.4166666666667,218541
220194,2004,206.0833333333333,179963
220196,2004,509.75,440372
220198,2004,433.0833333333333,383587
220200,2004,755.6666666666666,706959
220202,2004,506.8333333333333,472904
220205,2004,667.0833333333334,595957
220207,2004,318.0833333333333,272535
220208,2004,165.1666666666667,131971
220209,2004,492.6666666666667,471418
220210,2004,563.75,504458
220211,2004,605.25,552785
220213,2004,550,488596
220217,2004,349.9166666666667,324189
220220,2004,2069.5,1761381
220225,2004,375.6666666666667,332101
220230,2004,1191.333333333333,1044224
220240,2004,402,366553
220245,2004,426.75,385786
220250,2004,295.25,271895
220253,2004,471.75,437861
220255,2004,544.9166666666666,497640
220260,2004,2296.333333333333,2064032
220265,2004,237.5,218223
220270,2004,2213.916666666667,2165482
220271,2004,290.1666666666667,275758
220272,2004,280,258876
220273,2004,240.9166666666667,223589
220275,2004,375.25,342863
220277,2004,560.0833333333334,537906
220280,2004,555,480800
220285,2004,477.6666666666667,419898
220290,2004,1094.25,1012518
220300,2004,37.41666666666666,34085
220310,2004,80.08333333333333,68991
220320,2004,1080.333333333333,952551
220323,2004,313.6666666666667,286736
220325,2004,220.0833333333333,197629
220327,2004,388.0833333333333,377670
220330,2004,1279.5,1129225
220335,2004,575.75,498860
220340,2004,630.5,513887
220342,2004,327.1666666666667,307203
220345,2004,1127.083333333333,987170
220350,2004,1803.083333333333,1504972
220360,2004,327.0833333333333,275262
220370,2004,2862.333333333333,2604116
220375,2004,424.1666666666667,394552
220380,2004,246.6666666666667,211987
220385,2004,290.25,237813
220390,2004,2092.5,1653759
220400,2004,674.4166666666666,584535
220410,2004,304.4166666666667,248571
220415,2004,283.25,237422
220420,2004,594.75,523493
220430,2004,686.6666666666666,583469
220435,2004,235.8333333333333,205016
220440,2004,322.6666666666667,304568
220450,2004,927.5833333333334,808534
220455,2004,630.8333333333334,597200
220460,2004,419.4166666666667,366410
220465,2004,430.5833333333333,392427
220470,2004,880.5,807945
220480,2004,622.75,596536
220490,2004,682.8333333333334,631205
220500,2004,816.75,723344
220510,2004,459.8333333333333,352176
220515,2004,643.5833333333334,547154
220520,2004,1842.166666666667,1718770
220525,2004,359.25,305405
220527,2004,511,464438
220530,2004,50.33333333333334,48318
220535,2004,247.0833333333333,210857
220540,2004,1356.5,1258392
220545,2004,329.9166666666667,322100
220550,2004,2110.666666666667,1937909
220551,2004,291.3333333333333,266842
220552,2004,380.0833333333333,355809
220553,2004,460.75,402124
220554,2004,271.0833333333333,226645
220555,2004,600.8333333333334,518257
220556,2004,446.9166666666667,420271
220557,2004,440.9166666666667,417619
220558,2004,258.3333333333333,250853
220559,2004,319.1666666666667,284919
220560,2004,607.75,554663
220570,2004,1001,884659
220580,2004,1719.5,1547315
220585,2004,475.8333333333333,453997
220590,2004,623.5,568821
220595,2004,451.4166666666667,408370
220600,2004,481.8333333333333,412030
220605,2004,503.9166666666667,459636
220610,2004,850.75,805639
220620,2004,1862.916666666667,1719055
220630,2004,130.6666666666667,118224
220635,2004,735.8333333333334,687922
220640,2004,796.3333333333334,728020
220650,2004,679.1666666666666,612866
220660,2004,136.5833333333333,137604
220665,2004,316.3333333333333,287082
220667,2004,536.3333333333334,510316
220669,2004,180.8333333333333,166420
220670,2004,904.5,754648
220672,2004,,0
220675,2004,356.9166666666667,315567
220680,2004,129,127614
220690,2004,406.8333333333333,351501
220695,2004,37,34515
220700,2004,2476.833333333333,2253729
220710,2004,205.75,186928
220720,2004,655.25,580224
220730,2004,188.0833333333333,154764
220735,2004,456.4166666666667,417750
220740,2004,257.3333333333333,243977
220750,2004,708.8333333333334,625871
220755,2004,129.4166666666667,118202
220760,2004,149.1666666666667,150249
220770,2004,5273.083333333333,4926248
220775,2004,244.1666666666667,236963
220777,2004,669.0833333333334,566616
220779,2004,327.1666666666667,316281
220780,2004,1281.25,1218171
220785,2004,377.75,356723
220790,2004,2126.833333333333,1923185
220793,2004,301.75,276840
220795,2004,616,525316
220800,2004,2604.166666666667,2128524
220810,2004,644.8333333333334,586941
220820,2004,1495.833333333333,1358069
220830,2004,1532.416666666667,1438977
220840,2004,4126.083333333333,3542900
220850,2004,845.0833333333334,809134
220855,2004,214.4166666666667,195619
220860,2004,88.25,83330
220865,2004,472.6666666666667,440016
220870,2004,550.75,529218
220880,2004,1270.083333333333,1039869
220885,2004,154.25,144961
220887,2004,433.9166666666667,404944
220890,2004,507.9166666666667,498015
220900,2004,453.25,381440
220910,2004,283.5833333333333,262609
220915,2004,219.25,200786
220920,2004,494.6666666666667,467123
220930,2004,25,25292
220935,2004,497.5833333333333,454360
220937,2004,493.5833333333333,441479
220940,2004,352.6666666666667,313921
220945,2004,126.4166666666667,116775
220950,2004,343.75,309217
220955,2004,374,351734
220960,2004,296.5,244223
220965,2004,401.25,369714
220970,2004,89.41666666666667,62655
220975,2004,59.91666666666666,57223
220980,2004,404,344727
220985,2004,326.4166666666667,311160
220987,2004,540.8333333333334,508866
220990,2004,498.5,449814
220995,2004,501.5,417768
220997,2004,483.1666666666667,447953
221000,2004,1707.583333333333,1520563
221005,2004,340.6666666666667,312010
221010,2004,199.5833333333333,184415
221020,2004,839.3333333333334,705562
221030,2004,521.4166666666666,467493
221035,2004,364.5,309696
221037,2004,240.75,224101
221038,2004,33.5,25590
221039,2004,231.8333333333333,210291
221040,2004,2556.583333333333,2132392
221050,2004,731.8333333333334,649139
221060,2004,1856.666666666667,1646237
221062,2004,419.6666666666667,393640
221063,2004,275.25,186482
221065,2004,308.75,276994
221070,2004,1674.083333333333,1560957
221080,2004,778.5,692295
221090,2004,366.1666666666667,342538
221093,2004,489.75,437030
221095,2004,277.8333333333333,261248
221097,2004,310.4166666666667,275487
